#Wavelength,Transmission,Transmission,Transmission
#nm,,,
#,Mr. Blue,Mr. White,Three sisters
698.021283,0.0246296915725579,0.0258199057694329,1.08840997088917E-4
698.055143,0.0246422805867781,0.0258331616709526,1.08962565424412E-4
698.089002,0.0246548642099858,0.0258464112176839,1.09084182794571E-4
698.122861,0.0246674424273537,0.0258596543928714,1.09205849060584E-4
698.15672,0.0246800152240545,0.0258728911797608,1.09327564083367E-4
698.190579,0.0246925825852612,0.0258861215615991,1.09449327723566E-4
698.224438,0.0247051444961471,0.0258993455216342,1.09571139841557E-4
698.258296,0.024717700941886,0.0259125630431156,1.09693000297443E-4
698.292154,0.0247302519076515,0.0259257741092939,1.09814908951056E-4
698.326012,0.0247427973786181,0.0259389787034211,1.09936865661959E-4
698.35987,0.0247553373399605,0.0259521768087505,1.10058870289441E-4
698.393728,0.0247678717768536,0.0259653684085368,1.10180922692523E-4
698.427585,0.024780400674473,0.0259785534860361,1.10303022729956E-4
698.461442,0.0247929240179947,0.025991732024506,1.10425170260218E-4
698.495299,0.0248054417925951,0.0260049040072056,1.10547365141519E-4
698.529155,0.0248179539834514,0.0260180694173956,1.10669607231799E-4
698.563012,0.024830460575741,0.026031228238338,1.10791896388727E-4
698.596868,0.0248429615546422,0.0260443804532967,1.10914232469702E-4
698.630724,0.0248554569053336,0.026057526045537,1.11036615331857E-4
698.664579,0.0248679466129947,0.0260706649983261,1.1115904483205E-4
698.698435,0.0248804306628056,0.0260837972949327,1.11281520826876E-4
698.73229,0.0248929090399471,0.0260969229186273,1.11404043172655E-4
698.766145,0.0249053817296006,0.0261100418526822,1.11526611725441E-4
698.8,0.0249178487169485,0.0261231540803716,1.11649226341021E-4
698.833854,0.0249303099871738,0.0261362595849713,1.11771886874911E-4
698.867709,0.0249427655254603,0.0261493583497592,1.11894593182359E-4
698.901563,0.0249552153169929,0.0261624503580149,1.12017345118344E-4
698.935417,0.024967659346957,0.0261755355930202,1.12140142537578E-4
698.96927,0.0249800976005392,0.0261886140380588,1.12262985294507E-4
699.003124,0.0249925300629269,0.0262016856764163,1.12385873243305E-4
699.036977,0.0250049567193084,0.0262147504913804,1.12508806237882E-4
699.07083,0.0250173775548731,0.0262278084662409,1.12631784131878E-4
699.104683,0.0250297925548115,0.0262408595842899,1.12754806778669E-4
699.138535,0.025042201704315,0.0262539038288214,1.1287787403136E-4
